{name:4                   , testing: False, dynLoss: 1.5001, colRisk: 30.685, smoothness: 1.1917, disVar: 0.0460}
{name:car1                , testing: False, dynLoss: 0.6149, colRisk: 14.899, smoothness: 1.5166, disVar: 0.0175}
{name:car3                , testing: False, dynLoss: 1.0977, colRisk: 5.0312, smoothness: 4.8524, disVar: 0.0021}
{name:test1               , testing: True, dynLoss: 1.0629, colRisk: 2.3384, smoothness: 9.2793, disVar: 0.0030}
{name:20240911-221617     , testing: False, dynLoss: 0.9216, colRisk: 14.508, smoothness: 5.5027, disVar: 0.0024}
{name:2ndLeft2            , testing: True, dynLoss: 1.3799, colRisk: 4.0590, smoothness: 2.5407, disVar: 0.0029}
{name:3rdLeft2-Col        , testing: False, dynLoss: 1.4649, colRisk: 6.4917, smoothness: 2.8109, disVar: 0.0125}
Epoch 1 done at 2024-09-12-10-46-30
{name:2ndLeft1            , testing: False, dynLoss: 0.7837, colRisk: 2.8209, smoothness: 1.5752, disVar: 0.0130}
{name:20240911-222121     , testing: False, dynLoss: 1.0988, colRisk: 5.1667, smoothness: 4.5191, disVar: 0.0033}
{name:20240911-222405     , testing: False, dynLoss: 1.4029, colRisk: 7.6828, smoothness: 4.3657, disVar: 0.0106}
{name:2ndLeft3            , testing: False, dynLoss: 0.8340, colRisk: 9.3351, smoothness: 1.0899, disVar: 0.0045}
{name:2ndStair-uneven     , testing: True, dynLoss: 1.4004, colRisk: 11.219, smoothness: 3.3197, disVar: 0.0759}
{name:2                   , testing: True, dynLoss: 1.8186, colRisk: 6.1045, smoothness: 7.8842, disVar: 0.0033}
{name:20240911-221513     , testing: False, dynLoss: 0.9331, colRisk: 12.272, smoothness: 2.1654, disVar: 0.0041}
{name:cafeCorner1         , testing: False, dynLoss: 0.7857, colRisk: 7.0056, smoothness: 2.4240, disVar: 0.0123}
{name:atrium2             , testing: False, dynLoss: 1.2018, colRisk: 4.8110, smoothness: 2.4498, disVar: 0.0099}
{name:test2               , testing: True, dynLoss: 1.7746, colRisk: 1.2570, smoothness: 1.7613, disVar: 0.0191}
{name:0                   , testing: False, dynLoss: 0.8334, colRisk: 36.002, smoothness: 0.0001, disVar: 0.0497}
{name:3                   , testing: False, dynLoss: 2.1960, colRisk: 14.145, smoothness: 8.9230, disVar: 0.1814}
{name:atrium1             , testing: False, dynLoss: 1.1299, colRisk: 5.9345, smoothness: 1.3308, disVar: 0.0020}
{name:20240911-222200     , testing: False, dynLoss: 0.4636, colRisk: 6.6531, smoothness: 2.1855, disVar: 0.0029}
{name:1                   , testing: False, dynLoss: 2.0434, colRisk: 21.725, smoothness: 1.7232, disVar: 0.0477}
