{name:4                   , testing: False, dynLoss: 2.1897, colRisk: 21.071, smoothness: 1.8664, disVar: 0.0453}
{name:car1                , testing: False, dynLoss: 0.7361, colRisk: 17.729, smoothness: 9.8749, disVar: 0.0110}
{name:car3                , testing: False, dynLoss: 0.8633, colRisk: 5.9399, smoothness: 3.8198, disVar: 0.0027}
{name:test1               , testing: True, dynLoss: 2.8389, colRisk: 5.9379, smoothness: 9.2669, disVar: 0.0042}
{name:20240911-221617     , testing: False, dynLoss: 1.0251, colRisk: 16.757, smoothness: 5.0426, disVar: 0.0031}
{name:2ndLeft2            , testing: True, dynLoss: 1.3752, colRisk: 10.811, smoothness: 2.5388, disVar: 0.0035}
{name:3rdLeft2-Col        , testing: False, dynLoss: 1.7875, colRisk: 7.6866, smoothness: 2.6202, disVar: 0.0100}
Epoch 1 done at 2024-09-12-20-50-34
{name:2ndLeft1            , testing: False, dynLoss: 1.2404, colRisk: 7.8660, smoothness: 2.0342, disVar: 0.0169}
{name:20240911-222121     , testing: False, dynLoss: 1.7860, colRisk: 8.6731, smoothness: 3.2306, disVar: 0.0039}
{name:20240911-222405     , testing: False, dynLoss: 5.8762, colRisk: 9.2872, smoothness: 3.7231, disVar: 0.0127}
{name:2ndLeft3            , testing: False, dynLoss: 1.1031, colRisk: 18.699, smoothness: 9.0190, disVar: 0.0063}
{name:2ndStair-uneven     , testing: True, dynLoss: 2.6918, colRisk: 13.065, smoothness: 1.5421, disVar: 0.0637}
{name:2                   , testing: True, dynLoss: 1.4952, colRisk: 26.604, smoothness: 9.0519, disVar: 0.0047}
{name:20240911-221513     , testing: False, dynLoss: 2.5577, colRisk: 10.426, smoothness: 1.6796, disVar: 0.0067}
{name:cafeCorner1         , testing: False, dynLoss: 6.0953, colRisk: 10.485, smoothness: 2.2061, disVar: 0.0144}
{name:atrium2             , testing: False, dynLoss: 2.1342, colRisk: 16.161, smoothness: 3.3798, disVar: 0.0088}
{name:test2               , testing: True, dynLoss: 3.6329, colRisk: 3.9510, smoothness: 1.6334, disVar: 0.0182}
{name:0                   , testing: False, dynLoss: 2.6784, colRisk: 33.306, smoothness: 0.0003, disVar: 0.0559}
{name:3                   , testing: False, dynLoss: 8.7686, colRisk: 17.300, smoothness: 4.5429, disVar: 0.1439}
{name:atrium1             , testing: False, dynLoss: 4.5958, colRisk: 14.963, smoothness: 1.4059, disVar: 0.0034}
{name:20240911-222200     , testing: False, dynLoss: 0.5473, colRisk: 6.4635, smoothness: 2.3259, disVar: 0.0052}
{name:1                   , testing: False, dynLoss: 2.3899, colRisk: 37.925, smoothness: 6.0379, disVar: 0.0544}
{name:20240911-222757     , testing: False, dynLoss: 0.7928, colRisk: 9.4331, smoothness: 2.7642, disVar: 0.0049}
{name:car2                , testing: False, dynLoss: 1.3418, colRisk: 15.491, smoothness: 5.3128, disVar: 0.0058}
{name:20240911-221834     , testing: False, dynLoss: 2.8153, colRisk: 20.728, smoothness: 2.8378, disVar: 0.0049}
{name:20240911-223049     , testing: False, dynLoss: 1.2645, colRisk: 17.778, smoothness: 9.5627, disVar: 0.0092}
{name:3rdLeft-Col         , testing: False, dynLoss: 1.4080, colRisk: 24.269, smoothness: 1.8132, disVar: 0.0117}
{name:20240911-221929     , testing: False, dynLoss: 3.1928, colRisk: 6.1410, smoothness: 4.9491, disVar: 0.0048}
{name:cafeCorner2         , testing: False, dynLoss: 0.4823, colRisk: 11.951, smoothness: 3.3215, disVar: 0.0057}
{name:2ndRight            , testing: False, dynLoss: 1.1702, colRisk: 22.328, smoothness: 2.8114, disVar: 0.0085}
{name:4                   , testing: False, dynLoss: 1.8832, colRisk: 21.592, smoothness: 1.1684, disVar: 0.0472}
{name:car1                , testing: False, dynLoss: 1.2475, colRisk: 21.025, smoothness: 1.6080, disVar: 0.0188}
{name:car3                , testing: False, dynLoss: 1.0160, colRisk: 10.700, smoothness: 4.2934, disVar: 0.0054}
{name:test1               , testing: True, dynLoss: 3.0901, colRisk: 6.1959, smoothness: 1.0440, disVar: 0.0087}
{name:20240911-221617     , testing: False, dynLoss: 1.2352, colRisk: 13.246, smoothness: 5.9861, disVar: 0.0064}
{name:2ndLeft2            , testing: True, dynLoss: 1.6887, colRisk: 10.800, smoothness: 2.7794, disVar: 0.0070}
{name:3rdLeft2-Col        , testing: False, dynLoss: 0.9709, colRisk: 12.688, smoothness: 1.2453, disVar: 0.0085}
Epoch 2 done at 2024-09-12-20-54-08
{name:2ndLeft1            , testing: False, dynLoss: 1.2926, colRisk: 5.9176, smoothness: 2.3532, disVar: 0.0227}
{name:20240911-222121     , testing: False, dynLoss: 1.6091, colRisk: 8.1916, smoothness: 3.0939, disVar: 0.0069}
{name:20240911-222405     , testing: False, dynLoss: 7.1517, colRisk: 6.6690, smoothness: 1.2363, disVar: 0.0131}
{name:2ndLeft3            , testing: False, dynLoss: 1.1519, colRisk: 15.188, smoothness: 6.7339, disVar: 0.0088}
{name:2ndStair-uneven     , testing: True, dynLoss: 2.5132, colRisk: 12.992, smoothness: 9.7864, disVar: 0.0607}
{name:2                   , testing: True, dynLoss: 1.3701, colRisk: 26.644, smoothness: 1.2609, disVar: 0.0087}
{name:20240911-221513     , testing: False, dynLoss: 3.0295, colRisk: 11.315, smoothness: 3.5600, disVar: 0.0135}
{name:cafeCorner1         , testing: False, dynLoss: 6.2174, colRisk: 9.2189, smoothness: 1.4092, disVar: 0.0119}
{name:atrium2             , testing: False, dynLoss: 2.1667, colRisk: 8.3448, smoothness: 5.5411, disVar: 0.0154}
{name:test2               , testing: True, dynLoss: 3.6789, colRisk: 3.9671, smoothness: 1.6738, disVar: 0.0205}
{name:0                   , testing: False, dynLoss: 2.9378, colRisk: 34.838, smoothness: 0.0003, disVar: 0.0591}
{name:3                   , testing: False, dynLoss: 8.7916, colRisk: 25.307, smoothness: 4.0691, disVar: 0.1964}
{name:atrium1             , testing: False, dynLoss: 6.1909, colRisk: 11.816, smoothness: 9.6011, disVar: 0.0079}
{name:20240911-222200     , testing: False, dynLoss: 0.6099, colRisk: 4.8670, smoothness: 1.7469, disVar: 0.0111}
{name:1                   , testing: False, dynLoss: 3.8398, colRisk: 25.987, smoothness: 3.4345, disVar: 0.0884}
{name:20240911-222757     , testing: False, dynLoss: 0.9025, colRisk: 8.4683, smoothness: 1.8146, disVar: 0.0074}
{name:car2                , testing: False, dynLoss: 1.7561, colRisk: 15.377, smoothness: 1.6820, disVar: 0.0108}
{name:20240911-221834     , testing: False, dynLoss: 2.7566, colRisk: 17.001, smoothness: 4.0330, disVar: 0.0092}
{name:20240911-223049     , testing: False, dynLoss: 1.0324, colRisk: 15.460, smoothness: 1.3596, disVar: 0.0163}
{name:3rdLeft-Col         , testing: False, dynLoss: 1.1865, colRisk: 19.175, smoothness: 1.5533, disVar: 0.0090}
{name:20240911-221929     , testing: False, dynLoss: 1.4665, colRisk: 4.1243, smoothness: 1.2082, disVar: 0.0086}
{name:cafeCorner2         , testing: False, dynLoss: 0.7885, colRisk: 9.4048, smoothness: 9.4481, disVar: 0.0111}
{name:2ndRight            , testing: False, dynLoss: 1.4095, colRisk: 10.340, smoothness: 1.8803, disVar: 0.0121}
{name:4                   , testing: False, dynLoss: 1.2527, colRisk: 23.157, smoothness: 1.6299, disVar: 0.0328}
{name:car1                , testing: False, dynLoss: 0.6559, colRisk: 17.967, smoothness: 1.1706, disVar: 0.0140}
{name:car3                , testing: False, dynLoss: 1.2519, colRisk: 6.1043, smoothness: 4.1097, disVar: 0.0107}
{name:test1               , testing: True, dynLoss: 3.5494, colRisk: 6.3242, smoothness: 1.3460, disVar: 0.0153}
{name:20240911-221617     , testing: False, dynLoss: 1.2657, colRisk: 16.957, smoothness: 6.8778, disVar: 0.0087}
{name:2ndLeft2            , testing: True, dynLoss: 2.2194, colRisk: 10.673, smoothness: 3.3740, disVar: 0.0125}
{name:3rdLeft2-Col        , testing: False, dynLoss: 2.2822, colRisk: 7.6657, smoothness: 5.5570, disVar: 0.0209}
Epoch 3 done at 2024-09-12-20-57-40 =================================chosen for paper========
{name:2ndLeft1            , testing: False, dynLoss: 1.5521, colRisk: 8.1085, smoothness: 3.4511, disVar: 0.0281}
{name:20240911-222121     , testing: False, dynLoss: 2.0480, colRisk: 8.7962, smoothness: 4.7681, disVar: 0.0113}
{name:20240911-222405     , testing: False, dynLoss: 6.7542, colRisk: 9.1109, smoothness: 5.1328, disVar: 0.0194}
{name:2ndLeft3            , testing: False, dynLoss: 1.6938, colRisk: 19.778, smoothness: 1.1045, disVar: 0.0160}
{name:2ndStair-uneven     , testing: True, dynLoss: 2.7571, colRisk: 12.740, smoothness: 6.6797, disVar: 0.0631}
{name:2                   , testing: True, dynLoss: 1.6338, colRisk: 26.308, smoothness: 2.1550, disVar: 0.0156}
{name:20240911-221513     , testing: False, dynLoss: 4.3447, colRisk: 10.666, smoothness: 3.8419, disVar: 0.0199}
{name:cafeCorner1         , testing: False, dynLoss: 7.0996, colRisk: 10.394, smoothness: 4.7710, disVar: 0.0238}
{name:atrium2             , testing: False, dynLoss: 3.2188, colRisk: 16.450, smoothness: 7.5457, disVar: 0.0225}
{name:test2               , testing: True, dynLoss: 4.2335, colRisk: 4.0362, smoothness: 1.9420, disVar: 0.0256}
{name:0                   , testing: False, dynLoss: 3.2350, colRisk: 33.072, smoothness: 0.0003, disVar: 0.0704}
{name:3                   , testing: False, dynLoss: 6.5273, colRisk: 18.207, smoothness: 4.0943, disVar: 0.1210}
{name:atrium1             , testing: False, dynLoss: 5.4432, colRisk: 15.028, smoothness: 2.3756, disVar: 0.0109}
{name:20240911-222200     , testing: False, dynLoss: 0.8409, colRisk: 6.7182, smoothness: 3.0415, disVar: 0.0160}
{name:1                   , testing: False, dynLoss: 4.0247, colRisk: 38.063, smoothness: 4.3481, disVar: 0.1226}
{name:20240911-222757     , testing: False, dynLoss: 1.4542, colRisk: 9.9606, smoothness: 4.6160, disVar: 0.0149}
{name:car2                , testing: False, dynLoss: 2.5301, colRisk: 16.087, smoothness: 6.7190, disVar: 0.0160}
{name:20240911-221834     , testing: False, dynLoss: 4.4503, colRisk: 20.560, smoothness: 4.6796, disVar: 0.0143}
{name:20240911-223049     , testing: False, dynLoss: 1.4791, colRisk: 18.933, smoothness: 1.0768, disVar: 0.0224}
